x,y
3.339999914,1.00745
3.343838298,1.01934
3.347676682,1.036267
3.351515066,1.017304
3.355353449,1.004918
3.359191833,1.03554
3.363030217,1.025355
3.366868601,1.01459
3.370706985,1.024369
3.374545369,0.9933972
3.378383752,1.000192
3.382222136,1.045406
3.38606052,1.020369
3.389898904,0.9900815
3.393737288,1.012803
3.397575672,0.9990528
3.401414055,1.005919
3.405252439,1.030349
3.409090823,0.9977326
3.412929207,0.9900364
3.416767591,1.015571
3.420605975,0.9998463
3.424444358,0.9990111
3.428282742,1.035833
3.432121126,1.028995
3.43595951,1.007022
3.439797894,1.017348
3.443636277,1.005415
3.447474661,0.9981713
3.451313045,1.02287
3.455151429,1.012846
3.458989813,0.9929096
3.462828197,1.001849
3.46666658,1.013802
3.470504964,1.008953
3.474343348,0.9903569
3.478181732,0.9661365
3.482020116,0.9348084
3.4858585,0.9390462
3.489696883,0.9808012
3.493535267,0.9909021
3.497373651,0.9940714
3.501212035,1.014246
3.505050419,1.020233
3.508888802,1.002623
3.512727186,0.9949392
3.51656557,1.003239
3.520403954,1.016591
3.524242338,1.034254
3.528080722,1.019685
3.531919105,1.01148
3.535757489,1.02666
3.539595873,1.022359
3.543434257,1.002157
3.547272641,1.000995
3.551111025,1.014296
3.554949408,1.003491
3.558787792,1.015367
3.562626176,1.024395
3.56646456,0.9999497
3.570302944,0.9826334
3.574141328,0.9887425
3.577979711,1.01153
3.581818095,1.026873
3.585656479,1.037869
3.589494863,1.040716
3.593333247,1.024388
3.59717163,0.9909052
3.601010014,0.9712995
3.604848398,0.9762809
3.608686782,0.9860619
3.612525166,0.997323
3.61636355,1.014175
3.620201933,1.027063
3.624040317,1.022454
3.627878701,1.02262
3.631717085,1.039316
3.635555469,1.037949
3.639393853,1.041238
3.643232236,1.060527
3.64707062,1.05843
3.650909004,1.030091
3.654747388,0.9946704
3.658585772,0.993714
3.662424156,1.008135
3.666262539,1.009413
3.670100923,1.04456
3.673939307,1.051431
3.677777691,1.021838
3.681616075,1.020469
3.685454458,1.011957
3.689292842,0.9998714
3.693131226,1.007554
3.69696961,1.027467
3.700807994,1.073974
3.704646378,1.089617
3.708484761,1.063349
3.712323145,1.050621
3.716161529,1.131707
3.719999913,1.265055
3.723838297,1.330906
3.727676681,1.292157
3.731515064,1.185331
3.735353448,1.100185
3.739191832,1.031948
3.743030216,1.029718
3.7468686,1.032746
3.750706983,1.014638
3.754545367,0.9920562
3.758383751,0.9898767
3.762222135,0.9745881
3.766060519,0.9519024
3.769898903,0.9581258
3.773737286,0.9904009
3.77757567,1.031765
3.781414054,1.020715
3.785252438,1.025134
3.789090822,1.068328
3.792929206,1.06593
3.796767589,1.025116
3.800605973,1.044219
3.804444357,1.102898
3.808282741,1.100854
3.812121125,1.046926
3.815959509,1.030022
3.819797892,1.040657
3.823636276,1.064289
3.82747466,1.061595
3.831313044,1.039822
3.835151428,1.021725
3.838989811,1.014149
3.842828195,1.012942
3.846666579,0.9960786
3.850504963,1.0171
3.854343347,1.040364
3.858181731,1.007777
3.862020114,0.9942657
3.865858498,1.044742
3.869696882,1.079907
3.873535266,1.03425
3.87737365,0.9789153
3.881212034,0.9751886
3.885050417,1.000827
3.888888801,1.000317
3.892727185,0.9981111
3.896565569,1.052629
3.900403953,1.089922
3.904242337,1.052088
3.90808072,1.016782
3.911919104,0.9986883
3.915757488,0.9949327
3.919595872,1.01011
3.923434256,1.028286
3.927272639,1.030706
3.931111023,1.019874
3.934949407,1.025699
3.938787791,1.012735
3.942626175,0.9648931
3.946464559,0.9691544
3.950302942,0.9971942
3.954141326,0.9776724
3.95797971,0.9710475
3.961818094,0.9887193
3.965656478,0.9922253
3.969494862,0.9934807
3.973333245,1.008569
3.977171629,0.9966778
3.981010013,0.9688108
3.984848397,0.9734649
3.988686781,0.9919649
3.992525165,1.021694
3.996363548,1.041762
4.000201932,1.027368
4.004040316,1.02235
4.0078787,1.028908
4.011717084,1.025404
4.015555467,1.026278
4.019393851,1.029255
4.023232235,1.023356
4.027070619,1.03355
4.030909003,1.085186
4.034747387,1.124212
4.03858577,1.147828
4.042424154,1.129273
4.046262538,1.00242
4.050100922,0.9142942
4.053939306,0.9690735
4.05777769,1.019188
4.061616073,1.103838
4.065454457,1.386635
4.069292841,1.657519
4.073131225,1.653857
4.076969609,1.492341
4.080807992,1.337742
4.084646376,1.169107
4.08848476,1.021024
4.092323144,0.9648333
4.096161528,1.009015
